name,time,marks,prerequisites
0,2,50,
1,5,11,
2,4,25,
3,2,18,
4,2,44,
5,7,47,
6,1,12,
7,4,15,
8,9,24,
9,1,48,
10,4,45,
11,7,44,
12,8,24,
13,5,47,
14,3,10,
15,6,37,
16,3,27,
17,6,23,
18,2,16,
19,2,34,
20,6,32,
21,5,48,
22,8,12,
23,2,44,
24,2,34,
25,5,45,
26,10,50,
27,10,33,
28,2,22,
29,4,12,
30,2,28,
31,2,24,
32,5,34,
33,6,39,
34,6,20,
35,4,32,
36,2,27,
37,3,48,
38,4,44,
39,8,20,
40,5,34,
41,9,50,
42,6,24,
43,4,13,
44,6,12,
45,5,35,
46,4,14,
47,6,46,
48,8,23,
49,8,35,
50,5,19,
51,4,18,
52,9,45,
53,10,26,
54,10,37,
55,6,35,
56,3,24,
57,8,42,
58,1,15,
59,3,17,
60,3,50,
61,10,37,
62,7,14,
63,10,34,
64,9,39,
65,9,26,
66,2,10,
67,5,44,
68,2,31,
69,7,28,
70,8,20,
71,5,10,
72,3,42,
73,2,42,
74,5,50,
75,9,50,
76,4,48,
77,6,19,
78,9,20,
79,1,43,
80,6,48,
81,1,41,
82,6,17,
83,4,29,
84,4,13,
85,2,46,
86,8,15,
87,9,14,
88,3,18,
89,9,40,
90,5,20,
91,10,43,
92,4,37,
93,4,44,
94,7,29,
95,8,33,
96,8,43,
97,4,17,
98,2,24,
99,1,31,
100,9,47,76;65
101,10,24,17;8;35
102,1,24,53;43;64
103,1,14,0;36
104,2,24,75;74;84
105,6,12,19;57
106,9,14,44;42;70
107,5,25,48;58;41
108,4,41,89;30;73;49
109,3,44,99;52
110,10,46,95
111,4,40,48;49
112,7,40,83;19;63;4
113,2,22,75;42
114,7,16,56;12;67;58
115,7,32,18
116,8,36,83;19
117,2,13,33
118,7,13,88;50
119,2,31,42;86;68
120,4,25,40;80
121,9,22,97;62;69
122,3,38,8
123,3,37,87;36
124,8,27,95;11;55;12
125,2,25,90;12;56
126,9,38,38;3
127,1,16,7
128,1,44,47;55
129,4,15,67;52
130,7,20,23;21;22
131,8,41,48
132,7,23,30;63;74
133,3,13,59;81
134,1,34,32;85
135,5,34,59
136,5,39,86;69;20;9
137,9,37,44;75
138,3,41,54;88
139,5,22,38;25
140,1,23,61;13;30;48
141,9,47,73;37;89
142,6,13,84;50
143,1,13,72;87
144,8,47,6;77;95
145,9,42,36;99
146,1,20,77;45;28
147,2,42,79;32;86
148,2,21,98;84;87
149,2,48,80;12;82;5
150,7,25,56;4
151,10,17,93;16;11
152,10,25,41;95;53;22
153,1,48,69;46
154,2,49,34;21;32
155,10,36,61;37;95;43
156,9,46,59;9;18;96
157,5,30,86;92;50;71
158,6,23,50;1
159,5,25,15;58
160,3,35,95;86
161,8,29,48;81
162,2,30,13;86;29;60
163,8,10,71
164,10,49,78;28
165,2,16,81;59;89
166,4,44,52;14
167,5,42,4;38
168,6,18,14;12;30;68
169,4,14,58;47
170,5,33,95;89;69
171,8,20,95;93
172,5,44,53;83
173,9,49,62
174,9,10,35;4;88
175,2,29,56;30
176,5,18,12;87;47;69
177,2,17,82;45;7;50
178,3,45,15;58
179,5,27,27
180,4,48,76;2;6
181,4,31,31;16;72
182,5,50,97;70
183,8,42,27;29
184,1,26,18;76
185,7,15,18
186,1,27,69;32;22;14
187,6,10,3;16;1
188,5,18,30;75
189,8,20,22;33
190,7,45,94
191,1,45,14;95
192,2,17,57
193,9,19,65;75;13
194,6,12,28;78
195,9,47,84
196,7,19,58;82;3
197,1,18,61
198,6,29,54;87;13;62
199,6,12,56;9;10
200,4,23,37;16
201,6,16,159;162
202,7,45,182;83
203,3,49,135;75;116;129
204,3,25,25;179;29
205,7,21,166;196;141;184
206,3,11,110;115;58;105
207,7,31,116;102
208,5,25,24;80
209,2,20,170;65
210,1,34,39;175
211,4,40,17;23;21;110
212,8,22,189
213,5,32,33;142
214,4,24,143
215,4,11,171;31;105
216,6,35,170;192
217,2,27,184;13
218,6,27,153;79;90;26
219,7,42,54;39;168
220,6,44,27;89
221,2,11,94;29;195;71
222,3,26,109;143;196
223,5,47,157;172;164;142
224,2,12,168
225,7,48,68;7;46;69
226,6,32,79;86;89
227,10,37,36
228,2,42,102;17;36
229,10,34,7;23;191
