name,time,marks,prerequisites
0,2,50,
1,5,11,
2,4,25,
3,2,18,
4,2,44,
5,7,47,
6,1,12,
7,4,15,
8,9,24,
9,1,48,
10,4,45,
11,7,44,
12,8,24,
13,5,47,
14,3,10,
15,6,37,
16,3,27,
17,6,23,
18,2,16,
19,2,34,
20,6,32,
21,5,48,
22,8,12,
23,2,44,
24,2,34,
25,5,45,
26,10,50,
27,10,33,
28,2,22,
29,4,12,
30,2,28,
31,2,24,
32,5,34,
33,6,39,
34,6,20,
35,4,32,
36,2,27,
37,3,48,
38,4,44,
39,8,20,
40,5,34,
41,9,50,
42,6,24,
43,4,13,
44,6,12,
45,5,35,
46,4,14,
47,6,46,
48,8,23,
49,8,35,
50,5,19,
51,4,18,
52,9,45,
53,10,26,
54,10,37,
55,6,35,
56,3,24,
57,8,42,
58,1,15,
59,3,17,
60,3,50,
61,10,37,
62,7,14,
63,10,34,
64,9,39,
65,9,26,
66,2,10,
67,5,44,
68,2,31,
69,7,28,
70,8,20,
71,5,10,
72,3,42,
73,2,42,
74,5,50,
75,9,50,
76,4,48,
77,6,19,
78,9,20,
79,1,43,
80,6,48,
81,1,41,
82,6,17,
83,4,29,
84,4,13,
85,2,46,
86,8,15,
87,9,14,
88,3,18,
89,9,40,
90,5,20,
91,10,43,
92,4,37,
93,4,44,
94,7,29,
95,8,33,
96,8,43,
97,4,17,
98,2,24,
99,1,31,
100,9,47,
101,10,24,
102,1,24,
103,1,14,
104,2,24,
105,6,12,
106,9,14,
107,5,25,
108,4,41,
109,3,44,
110,10,46,
111,4,40,
112,7,40,
113,2,22,
114,7,16,
115,7,32,
116,8,36,
117,2,13,
118,7,13,
119,2,31,
120,4,25,
121,9,22,
122,3,38,
123,3,37,
124,8,27,
125,2,25,
126,9,38,
127,1,16,
128,1,44,
129,4,15,
130,7,20,
131,8,41,
132,7,23,
133,3,13,
134,1,34,
135,5,34,
136,5,39,
137,9,37,
138,3,41,
139,5,22,
140,1,23,
141,9,47,
142,6,13,
143,1,13,
144,8,47,
145,9,42,
146,1,20,
147,2,42,
148,2,21,
149,2,48,
150,7,25,
151,10,17,
152,10,25,
153,1,48,
154,2,49,
155,10,36,
156,9,46,
157,5,30,
158,6,23,
159,5,25,
160,3,35,
161,8,29,
162,2,30,
163,8,10,
164,10,49,
165,2,16,
166,4,44,
167,5,42,
168,6,18,
169,4,14,
170,5,33,
171,8,20,
172,5,44,
173,9,49,
174,9,10,
175,2,29,
176,5,18,
177,2,17,
178,3,45,
179,5,27,
180,4,48,
181,4,31,
182,5,50,
183,8,42,
184,1,26,
185,7,15,
186,1,27,
187,6,10,
188,5,18,
189,8,20,
190,7,45,
191,1,45,
192,2,17,
193,9,19,
194,6,12,
195,9,47,
196,7,19,
197,1,18,
198,6,29,
199,6,12,
200,4,23,
201,6,16,
202,7,45,
203,3,49,
204,3,25,
205,7,21,
206,3,11,
207,7,31,
208,5,25,
209,2,20,
210,1,34,
211,4,40,
212,8,22,
213,5,32,
214,4,24,
215,4,11,
216,6,35,
217,2,27,
218,6,27,
219,7,42,
220,6,44,
221,2,11,
222,3,26,
223,5,47,
224,2,12,
225,7,48,
226,6,32,
227,10,37,
228,2,42,
229,10,34,
230,5,22,
231,7,12,
232,9,10,
233,4,44,
234,7,33,
235,6,14,
236,6,49,
237,5,17,
238,5,42,
239,6,36,
240,5,35,
241,3,45,
242,7,22,
243,3,34,
244,10,49,
245,7,29,
246,1,45,
247,5,29,
248,7,23,
249,10,47,
250,8,30,
251,8,38,
252,9,23,
253,3,40,
254,5,15,
255,10,42,
256,2,31,
257,5,25,
258,4,24,
259,1,19,
260,4,12,
261,10,40,
262,8,14,
263,10,36,
264,7,22,
265,7,41,
266,3,25,
267,2,10,
268,4,37,
269,9,21,
270,1,39,
271,4,45,
272,8,17,
273,8,18,
274,9,43,
275,6,48,
276,10,38,
277,7,42,
278,8,45,
279,8,20,
280,5,38,
281,5,25,
282,8,43,
283,4,50,
284,8,27,
285,5,14,
286,5,25,
287,6,31,
288,2,44,
289,3,18,
290,7,24,
291,4,19,
292,7,14,
293,6,36,
294,8,44,
295,1,36,
296,7,23,
297,10,34,
298,10,11,
299,8,34,
300,6,10,
301,7,29,
302,9,36,
303,10,44,
304,8,24,
