name,time,marks,prerequisites
0,2,50,
1,5,11,
2,4,25,
3,2,18,
4,2,44,
5,7,47,
6,1,12,
7,4,15,
8,9,24,
9,1,48,
10,4,45,2;3
11,7,44,8;4;6
12,8,24,6;5;3;1
13,5,47,1;0;9
14,3,10,2;6
15,6,37,6;9;7
16,3,27,8;0;1
17,6,23,8;4;5
18,2,16,6;2
19,2,34,4;8
20,6,32,16;3;9
21,5,48,16;11
22,8,12,17;16
23,2,44,15;0;3
24,2,34,9;7;1;18
25,5,45,19;15;18
26,10,50,17;18;15
27,10,33,5;16;13
28,2,22,17;9;12
29,4,12,11;14;16;18
30,2,28,7;2
31,2,24,18;17
32,5,34,7;0
33,6,39,20
34,6,20,2
35,4,32,27;10
36,2,27,21;15
37,3,48,4;23
38,4,44,25
39,8,20,13;6
40,5,34,27
41,9,50,26;29
42,6,24,3;6;25;21
43,4,13,15;12;34
44,6,12,27;11
45,5,35,15;4
46,4,14,35;6
47,6,46,34
48,8,23,5;10;26
49,8,35,13;25
